ts	tid	pose	x	y	z	area	conf
2026-04-24 18:35:00	0	1	-100	400	45	255	60
2026-04-24 18:35:00	1	4	150	350	0	255	60
2026-04-24 18:35:01	0	1	-100	400	64	255	60
2026-04-24 18:35:01	1	4	150	350	0	255	60
2026-04-24 18:35:02	0	4	-110	380	0	255	60
2026-04-24 18:35:02	1	4	150	350	0	255	60
2026-04-24 18:35:03	0	4	-100	380	0	255	60
2026-04-24 18:35:03	1	4	150	350	0	255	60
2026-04-24 18:35:04	0	4	-100	380	0	255	60
2026-04-24 18:35:04	1	4	150	350	0	255	60
2026-04-24 18:35:05	0	4	-100	380	0	255	60
2026-04-24 18:35:05	1	4	150	350	0	255	60
2026-04-24 18:35:06	0	4	-100	380	0	255	60
2026-04-24 18:35:06	1	4	150	350	0	255	60
2026-04-24 18:35:07	0	4	-100	380	0	255	60
2026-04-24 18:35:07	1	4	150	350	0	255	60
2026-04-24 18:35:08	0	4	-110	390	0	255	60
2026-04-24 18:35:08	1	4	150	350	0	255	60
2026-04-24 18:35:09	0	4	-100	380	0	255	60
2026-04-24 18:35:09	1	4	150	350	0	255	60
2026-04-24 18:35:10	0	4	-110	390	0	255	60
2026-04-24 18:35:10	1	4	150	350	0	255	60
2026-04-24 18:35:11	0	4	-100	390	0	255	60
2026-04-24 18:35:11	1	4	150	350	0	255	60
2026-04-24 18:35:12	0	4	-100	390	0	255	60
2026-04-24 18:35:12	1	4	150	350	0	255	60
2026-04-24 18:35:13	0	4	-100	390	0	255	60
2026-04-24 18:35:13	1	4	150	350	0	255	60
2026-04-24 18:35:14	0	4	-100	390	0	255	60
2026-04-24 18:35:14	1	4	150	350	0	255	60
2026-04-24 18:35:15	0	4	-100	390	0	255	60
2026-04-24 18:35:15	1	4	150	350	0	255	60
2026-04-24 18:35:16	0	4	-100	390	0	255	60
2026-04-24 18:35:16	1	4	150	350	0	255	60
2026-04-24 18:35:17	0	4	-100	390	0	255	60
2026-04-24 18:35:17	1	4	150	350	0	255	60
2026-04-24 18:35:18	0	4	-90	390	60	255	60
2026-04-24 18:35:18	1	4	150	350	0	255	60
2026-04-24 18:35:19	0	4	-90	380	56	255	60
2026-04-24 18:35:19	1	4	150	350	0	255	60
2026-04-24 18:35:20	0	4	-80	370	0	255	60
2026-04-24 18:35:20	1	4	150	350	0	255	60
2026-04-24 18:35:21	0	4	-80	370	0	255	60
2026-04-24 18:35:21	1	4	150	350	0	255	60
2026-04-24 18:35:22	0	4	-80	370	0	255	60
2026-04-24 18:35:22	1	4	150	350	0	255	60
2026-04-24 18:35:23	0	4	-80	370	0	255	60
2026-04-24 18:35:23	1	4	150	350	0	255	60
2026-04-24 18:35:24	0	4	-80	390	0	255	60
2026-04-24 18:35:24	1	4	150	350	0	255	60
2026-04-24 18:35:25	0	4	-90	390	0	255	60
2026-04-24 18:35:25	1	4	150	350	0	255	60
2026-04-24 18:35:26	0	4	-90	390	0	255	60
2026-04-24 18:35:26	1	4	150	350	0	255	60
2026-04-24 18:35:27	0	4	-90	390	0	255	60
2026-04-24 18:35:27	1	4	150	350	0	255	60
2026-04-24 18:35:28	0	4	-90	390	0	255	60
2026-04-24 18:35:28	1	4	150	350	0	255	60
2026-04-24 18:35:29	0	4	-90	390	0	255	60
2026-04-24 18:35:29	1	4	150	350	0	255	60
2026-04-24 18:35:30	0	4	-90	380	0	255	60
2026-04-24 18:35:30	1	4	150	350	0	255	60
2026-04-24 18:35:31	0	4	-110	390	0	255	60
2026-04-24 18:35:31	1	4	150	350	0	255	60
2026-04-24 18:35:32	0	4	-130	390	0	255	60
2026-04-24 18:35:32	1	4	150	350	0	255	60
2026-04-24 18:35:33	0	4	-130	390	0	255	60
2026-04-24 18:35:33	1	4	150	350	0	255	60
2026-04-24 18:35:34	0	4	-130	390	0	255	60
2026-04-24 18:35:34	1	4	150	350	0	255	60
2026-04-24 18:35:35	0	4	-130	390	0	255	60
2026-04-24 18:35:35	1	4	150	350	0	255	60
2026-04-24 18:35:36	0	4	-120	390	0	255	60
2026-04-24 18:35:36	1	4	150	350	0	255	60
2026-04-24 18:35:37	0	4	-120	390	0	255	60
2026-04-24 18:35:37	1	4	150	350	0	255	60
2026-04-24 18:35:38	0	4	-120	390	0	255	60
2026-04-24 18:35:38	1	4	150	350	0	255	60
2026-04-24 18:35:39	0	4	-120	390	0	255	60
2026-04-24 18:35:39	1	4	150	350	0	255	60
2026-04-24 18:35:40	0	4	-120	390	0	255	60
