ts	tid	pose	x	y	z	area	conf
2026-04-24 19:04:12	88		0	0	0	0	60
2026-04-24 19:04:43	88		0	0	0	0	60
2026-04-24 19:05:15	88		0	0	0	0	60
2026-04-24 19:05:47	88		0	0	0	0	60
2026-04-24 19:06:19	88		0	0	0	0	60
2026-04-24 19:06:50	88		0	0	0	0	60
2026-04-24 19:07:22	88		0	0	0	0	60
2026-04-24 19:07:54	88		0	0	0	0	60
2026-04-24 19:08:26	88		0	0	0	0	60
2026-04-24 19:08:57	88		0	0	0	0	60
2026-04-24 19:09:29	88		0	0	0	0	60
2026-04-24 19:10:01	88		0	0	0	0	60
2026-04-24 19:10:33	88		0	0	0	0	60
2026-04-24 19:11:04	88		0	0	0	0	60
2026-04-24 19:11:36	88		0	0	0	0	60
2026-04-24 19:12:08	88		0	0	0	0	60
2026-04-24 19:12:40	88		0	0	0	0	60
2026-04-24 19:13:11	88		0	0	0	0	60
2026-04-24 19:13:43	88		0	0	0	0	60
2026-04-24 19:14:15	88		0	0	0	0	60
2026-04-24 19:14:47	88		0	0	0	0	60
2026-04-24 19:15:18	88		0	0	0	0	60
2026-04-24 19:15:50	88		0	0	0	0	60
2026-04-24 19:16:22	88		0	0	0	0	60
2026-04-24 19:16:53	88		0	0	0	0	60
2026-04-24 19:17:25	88		0	0	0	0	60
2026-04-24 19:17:57	88		0	0	0	0	60
2026-04-24 19:18:29	88		0	0	0	0	60
2026-04-24 19:19:00	88		0	0	0	0	60
2026-04-24 19:19:32	88		0	0	0	0	60
2026-04-24 19:20:04	88		0	0	0	0	60
2026-04-24 19:20:36	88		0	0	0	0	60
2026-04-24 19:21:07	88		0	0	0	0	60
2026-04-24 19:21:39	88		0	0	0	0	60
2026-04-24 19:22:11	88		0	0	0	0	60
2026-04-24 19:22:19	0	4	-70	60	91	12	60
2026-04-24 19:22:20	0	4	-40	30	81	12	60
2026-04-24 19:22:21	0	1	10	10	71	12	60
2026-04-24 19:22:22	0	1	40	20	63	12	60
2026-04-24 19:22:23	0	1	60	10	66	12	60
2026-04-24 19:22:24	0	1	80	0	75	12	60
2026-04-24 19:22:25	0	3	30	-10	0	12	60
2026-04-24 19:22:26	0	3	30	-10	0	12	60
2026-04-24 19:22:27	0	3	30	-10	79	12	60
2026-04-24 19:22:28	0	3	40	-20	74	12	60
2026-04-24 19:22:29	0	3	30	-10	95	12	60
2026-04-24 19:22:30	0	3	70	-20	0	12	60
2026-04-24 19:22:31	0	3	110	-20	0	12	60
2026-04-24 19:22:32	0	3	110	-20	0	12	60
2026-04-24 19:22:33	0	3	110	-20	0	12	60
2026-04-24 19:22:34	0	3	110	-20	0	12	60
2026-04-24 19:22:35	0	3	110	-20	0	12	60
2026-04-24 19:22:36	0	3	40	-10	0	12	60
2026-04-24 19:22:37	0	3	40	-10	0	12	60
2026-04-24 19:22:38	0	3	40	-10	0	12	60
2026-04-24 19:22:39	0	3	40	-10	0	12	60
2026-04-24 19:22:40	0	3	50	-10	0	12	60
2026-04-24 19:22:41	0	3	50	-10	0	12	60
2026-04-24 19:22:42	0	3	50	-10	0	12	60
2026-04-24 19:22:43	0	3	50	-10	0	12	60
2026-04-24 19:22:44	0	3	50	-10	0	12	60
2026-04-24 19:22:45	0	3	50	-10	0	12	60
2026-04-24 19:22:46	0	3	50	-10	0	12	60
2026-04-24 19:22:47	0	3	50	-10	0	12	60
2026-04-24 19:22:48	0	3	50	-10	0	12	60
2026-04-24 19:22:49	0	3	40	0	0	12	60
2026-04-24 19:22:50	0	3	40	0	0	12	60
2026-04-24 19:22:51	0	3	40	0	0	12	60
2026-04-24 19:22:52	0	3	30	0	0	12	60
2026-04-24 19:22:52	1	4	160	-10	0	255	60
2026-04-24 19:22:53	0	3	30	0	0	12	60
2026-04-24 19:22:53	1	4	160	-10	0	255	60
2026-04-24 19:22:54	0	3	30	0	0	12	60
2026-04-24 19:22:54	1	4	160	-10	0	255	60
2026-04-24 19:22:55	0	3	40	0	0	12	60
2026-04-24 19:22:55	1	4	160	-10	0	255	60
2026-04-24 19:22:56	0	3	40	0	0	12	60
2026-04-24 19:22:56	1	4	160	-10	0	255	60
2026-04-24 19:22:57	0	3	40	0	0	12	60
2026-04-24 19:22:57	1	4	160	-10	0	255	60
2026-04-24 19:22:58	0	3	40	0	0	12	60
2026-04-24 19:22:58	1	4	160	-10	0	255	60
2026-04-24 19:22:59	0	3	40	-10	0	12	60
2026-04-24 19:22:59	1	4	160	-10	85	255	60
2026-04-24 19:23:00	0	3	30	0	0	12	60
2026-04-24 19:23:00	1	4	160	-10	85	255	60
2026-04-24 19:23:01	0	3	30	0	0	12	60
2026-04-24 19:23:01	1	4	160	-10	0	255	60
2026-04-24 19:23:02	0	3	30	0	0	12	60
2026-04-24 19:23:02	1	4	160	-10	0	255	60
