mdt	device_uid	topic_type	category	data_value
2026-05-04 00:00:27.000	4D8710D5CABB	monitor	heart	[{"track_id": 11, "track_confidence": 80}]
2026-05-04 00:00:27.000	4D8710D5CABB	event	activity	[{"track_id": 9, "event_since": 1777874427267, "track_count": 0, "event_status": "instant", "lie_duration": 0, "walk_distance": 0, "walk_duration": 0, "stand_duration": 0, "multi_person_duration": 0}]
2026-05-04 00:00:27.000	4D8710D5CABB	monitor	track	[{"area_id": 0, "track_id": 88, "bed_status": 0, "position_x": 0, "position_y": 0, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:00:59.000	4D8710D5CABB	monitor	track	[{"area_id": 0, "track_id": 88, "bed_status": 0, "position_x": 0, "position_y": 0, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:01:30.000	4D8710D5CABB	event	activity	[{"track_id": 9, "event_since": 1777874490756, "track_count": 0, "event_status": "instant", "lie_duration": 0, "walk_distance": 0, "walk_duration": 0, "stand_duration": 0, "multi_person_duration": 0}]
2026-05-04 00:01:30.000	4D8710D5CABB	monitor	heart	[{"track_id": 11, "track_confidence": 80}]
2026-05-04 00:01:31.000	4D8710D5CABB	monitor	track	[{"area_id": 0, "track_id": 88, "bed_status": 0, "position_x": 0, "position_y": 0, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:02:02.000	4D8710D5CABB	event	activity	[{"track_id": 9, "event_since": 1777874522501, "track_count": 0, "event_status": "instant", "lie_duration": 0, "walk_distance": 0, "walk_duration": 0, "stand_duration": 0, "multi_person_duration": 0}]
2026-05-04 00:02:02.000	4D8710D5CABB	monitor	heart	[{"track_id": 11, "track_confidence": 80}]
2026-05-04 00:02:02.000	4D8710D5CABB	monitor	track	[{"area_id": 0, "track_id": 88, "bed_status": 0, "position_x": 0, "position_y": 0, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:02:34.000	4D8710D5CABB	event	number_people	[{"track_id": 10, "event_since": 1777874554306, "event_status": "start", "number_people": 0}]
2026-05-04 00:02:34.000	4D8710D5CABB	monitor	track	[{"area_id": 0, "track_id": 88, "bed_status": 0, "position_x": 0, "position_y": 0, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:03:05.000	4D8710D5CABB	monitor	heart	[{"track_id": 11, "track_confidence": 80}]
2026-05-04 00:03:05.000	4D8710D5CABB	event	activity	[{"track_id": 9, "event_since": 1777874585988, "track_count": 0, "event_status": "instant", "lie_duration": 0, "walk_distance": 0, "walk_duration": 0, "stand_duration": 0, "multi_person_duration": 0}]
2026-05-04 00:03:06.000	4D8710D5CABB	monitor	track	[{"area_id": 0, "track_id": 88, "bed_status": 0, "position_x": 0, "position_y": 0, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:03:37.000	4D8710D5CABB	monitor	track	[{"area_id": 0, "track_id": 88, "bed_status": 0, "position_x": 0, "position_y": 0, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:03:49.000	4D8710D5CABB	event	number_people	[{"track_id": 10, "event_since": 1777874629031, "event_status": "start", "number_people": 1}]
2026-05-04 00:03:49.000	4D8710D5CABB	event	EnterRoom	[{"event_since": 1777874629284, "event_status": "start"}]
2026-05-04 00:03:49.000	4D8710D5CABB	monitor	track	[{"pose": 4, "event": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 110, "position_y": 0, "position_z": 99, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:03:49.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 70, "position_y": 0, "position_z": 111, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:03:50.000	4D8710D5CABB	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 20, "position_y": 10, "position_z": 111, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:03:51.000	4D8710D5CABB	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": -10, "position_z": 126, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:03:52.000	4D8710D5CABB	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -30, "position_y": -10, "position_z": 112, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:03:53.000	4D8710D5CABB	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -20, "position_y": 0, "position_z": 133, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:03:54.000	4D8710D5CABB	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -30, "position_y": 0, "position_z": 106, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:03:55.000	4D8710D5CABB	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 0, "position_z": 88, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:03:56.000	4D8710D5CABB	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 10, "position_z": 108, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:03:57.000	4D8710D5CABB	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -20, "position_y": 0, "position_z": 102, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:03:58.000	4D8710D5CABB	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -20, "position_y": -10, "position_z": 104, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:03:59.000	4D8710D5CABB	monitor	heart	[{"track_id": 11, "track_confidence": 80}]
2026-05-04 00:03:59.000	4D8710D5CABB	event	activity	[{"track_id": 9, "event_since": 1777874639620, "track_count": 1, "event_status": "instant", "lie_duration": 0, "walk_distance": 1, "walk_duration": 8, "stand_duration": 1, "multi_person_duration": 0}]
