bj	topic_type	category	data_value
2026-05-05 06:45:09.000	monitor	heart	[{"track_id": 11, "track_confidence": 80}]
2026-05-05 06:45:09.000	event	activity	[{"track_id": 9, "event_since": 1777934709328, "track_count": 0, "event_status": "instant", "lie_duration": 0, "walk_distance": 0, "walk_duration": 0, "stand_duration": 0, "multi_person_duration": 0}]
2026-05-05 06:45:09.000	monitor	track	[{"area_id": 0, "track_id": 88, "bed_status": 0, "position_x": 0, "position_y": 0, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:45:41.000	monitor	track	[{"area_id": 0, "track_id": 88, "bed_status": 0, "position_x": 0, "position_y": 0, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:12.000	event	activity	[{"track_id": 9, "event_since": 1777934772875, "track_count": 0, "event_status": "instant", "lie_duration": 0, "walk_distance": 0, "walk_duration": 0, "stand_duration": 0, "multi_person_duration": 0}]
2026-05-05 06:46:12.000	monitor	heart	[{"track_id": 11, "track_confidence": 80}]
2026-05-05 06:46:13.000	monitor	track	[{"area_id": 0, "track_id": 88, "bed_status": 0, "position_x": 0, "position_y": 0, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:17.000	event	number_people	[{"track_id": 10, "event_since": 1777934777480, "event_status": "start", "number_people": 1}]
2026-05-05 06:46:17.000	event	EnterRoom	[{"event_since": 1777934777752, "event_status": "start"}]
2026-05-05 06:46:17.000	monitor	track	[{"pose": 4, "event": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 80, "position_y": 20, "position_z": 116, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:17.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 70, "position_y": 10, "position_z": 120, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:18.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 60, "position_y": 0, "position_z": 110, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:19.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 30, "position_y": 20, "position_z": 105, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:20.000	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -20, "position_y": -20, "position_z": 116, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:21.000	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -30, "position_y": -20, "position_z": 113, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:22.000	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -20, "position_y": 0, "position_z": 105, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:23.000	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 0, "position_z": 106, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:24.000	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": -10, "position_z": 87, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:25.000	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": -20, "position_z": 104, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:26.000	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": -30, "position_z": 92, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:27.000	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": -10, "position_z": 92, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:28.000	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": -20, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:29.000	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": -20, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:30.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 10, "position_y": -20, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:31.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": -20, "position_z": 109, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:32.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": -10, "position_z": 107, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:33.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:34.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:35.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:36.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:37.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
