2026-06-30 08:02:06.156 | EVT | number_people    | [{"track_id": 10, "heart_rate": -1, "event_since": 1782828126156, "event_status": "start", "number_people": 1, "respiratory_rate": -1}]
2026-06-30 08:02:06.192 | EVT | EnterRoom        | [{"heart_rate": -1, "event_since": 1782828126192, "event_status": "start", "respiratory_rate": -1}]
2026-06-30 08:02:06.195 | MON | radar.track      | [{"pose": 4, "event": 1, "area_id": 0, "track_id": 0, "position_x": -490, "position_y": 170, "position_z": 121, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:06.827 | MON | radar.track      | [{"pose": 4, "area_id": 0, "track_id": 0, "position_x": -490, "position_y": 170, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:07.834 | MON | radar.track      | [{"pose": 4, "area_id": 0, "track_id": 0, "position_x": -490, "position_y": 160, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:08.830 | MON | radar.track      | [{"pose": 4, "area_id": 0, "track_id": 0, "position_x": -500, "position_y": 160, "position_z": 119, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:09.837 | MON | radar.track      | [{"pose": 4, "area_id": 0, "track_id": 0, "position_x": -500, "position_y": 180, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:10.836 | MON | radar.track      | [{"pose": 4, "area_id": 0, "track_id": 0, "position_x": -500, "position_y": 170, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:11.848 | MON | radar.heart      | [{"pose": 0, "track_id": 11, "track_confidence": 80}]
2026-06-30 08:02:11.848 | EVT | activity         | [{"track_id": 9, "heart_rate": -1, "event_since": 1782828131848, "track_count": 1, "event_status": "instant", "lie_duration": 0, "walk_distance": 0, "walk_duration": 0, "stand_duration": 4, "respiratory_rate": -1, "multi_person_duration": 0}]
2026-06-30 08:02:11.887 | MON | radar.track      | [{"pose": 4, "area_id": 0, "track_id": 0, "position_x": -500, "position_y": 170, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:12.832 | MON | radar.track      | [{"pose": 4, "area_id": 0, "track_id": 0, "position_x": -500, "position_y": 170, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:13.837 | MON | radar.track      | [{"pose": 4, "area_id": 0, "track_id": 0, "position_x": -500, "position_y": 170, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:14.836 | MON | radar.track      | [{"pose": 4, "area_id": 0, "track_id": 0, "position_x": -500, "position_y": 170, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:15.840 | MON | radar.track      | [{"pose": 4, "area_id": 0, "track_id": 0, "position_x": -500, "position_y": 170, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:16.836 | MON | radar.track      | [{"pose": 4, "area_id": 0, "track_id": 0, "position_x": -500, "position_y": 170, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:17.839 | MON | radar.track      | [{"pose": 4, "area_id": 0, "track_id": 0, "position_x": -500, "position_y": 170, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:18.732 | MON | radar.track      | [{"pose": 4, "area_id": 0, "track_id": 0, "position_x": -500, "position_y": 170, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:19.732 | MON | radar.track      | [{"pose": 4, "area_id": 0, "track_id": 0, "position_x": -500, "position_y": 170, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:20.736 | MON | radar.track      | [{"pose": 4, "area_id": 0, "track_id": 0, "position_x": -500, "position_y": 170, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:21.740 | MON | radar.track      | [{"pose": 4, "area_id": 0, "track_id": 0, "position_x": -500, "position_y": 170, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:22.744 | MON | radar.track      | [{"pose": 4, "area_id": 0, "track_id": 0, "position_x": -500, "position_y": 170, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:23.737 | MON | radar.track      | [{"pose": 4, "area_id": 0, "track_id": 0, "position_x": -500, "position_y": 170, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:24.738 | MON | radar.track      | [{"pose": 4, "area_id": 0, "track_id": 0, "position_x": -500, "position_y": 170, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:25.739 | MON | radar.track      | [{"pose": 4, "area_id": 0, "track_id": 0, "position_x": -500, "position_y": 170, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:26.746 | MON | radar.track      | [{"pose": 4, "event": 2, "area_id": 0, "track_id": 0, "position_x": -490, "position_y": 140, "position_z": 49, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:02:26.785 | EVT | ExitRoom         | [{"heart_rate": -1, "event_since": 1782828146785, "event_status": "start", "respiratory_rate": -1}]
