# CABB 4D8710D5CABB  room fd00:0:3:411:1:200::/88  Unit tz=Asia/Shanghai(UTC+8)
# window 17:44:00-18:02:30 local | source: PG monitor_stream(radar.track) + event_log
# pose: 1=Walking 3=Sitting 4=Standing 7=SuspectedSitOnGround 8=SitOnGround | note: walking / SITONGROUND / Z>80
# ----------------------------------------------------------------------
17:44:03  pose-  z0    xy(   0,   0) tid88  
17:44:34  pose-  z0    xy(   0,   0) tid88  
17:44:37  >>>>>> EVENT: number_people (1)
17:44:37  >>>>>> EVENT: EnterRoom
17:44:37  pose4  z95   xy(  80,  10) tid0   Z>80
17:44:37  pose4  z88   xy(  60,  10) tid0   Z>80
17:44:38  pose1  z78   xy(   0,  40) tid0   walking
17:44:39  pose1  z112  xy( -10,  40) tid0   walking Z>80
17:44:40  pose1  z114  xy( -20,  40) tid0   walking Z>80
17:44:41  pose1  z90   xy( -30,  50) tid0   walking Z>80
17:44:43  pose1  z96   xy( -20,  50) tid0   walking Z>80
17:44:43  pose1  z93   xy(   0,  50) tid0   walking Z>80
17:44:44  pose1  z113  xy( -20,  50) tid0   walking Z>80
17:44:45  pose1  z91   xy( -20,  50) tid0   walking Z>80
17:44:46  pose1  z90   xy( -30,  60) tid0   walking Z>80
17:44:47  pose1  z56   xy( -40,  60) tid0   walking
17:44:48  pose1  z97   xy( -30,  50) tid0   walking Z>80
17:44:49  pose1  z70   xy( -40,  60) tid0   walking
17:44:50  pose1  z70   xy(   0,  40) tid0   walking
17:44:51  pose1  z78   xy(  30,  10) tid0   walking
17:44:52  pose1  z92   xy(  50, -10) tid0   walking Z>80
17:44:53  pose1  z47   xy(  40,   0) tid0   walking
17:44:54  pose1  z0    xy(  40,  10) tid0   walking
17:44:55  pose3  z0    xy(  40,  10) tid0   
17:44:56  pose3  z0    xy(  40,  10) tid0   
17:44:57  pose3  z0    xy(  40,  10) tid0   
17:44:58  pose3  z0    xy(  40,  10) tid0   
17:44:59  pose3  z0    xy(  40,  10) tid0   
17:45:00  pose3  z0    xy(  40,  10) tid0   
17:45:01  pose3  z0    xy(  40,  10) tid0   
17:45:02  pose3  z0    xy(  40,  10) tid0   
17:45:03  pose3  z0    xy(  40,  10) tid0   
17:45:04  pose3  z0    xy(  40,  10) tid0   
17:45:05  pose3  z0    xy(  40,  10) tid0   
17:45:06  pose3  z0    xy(  40,  10) tid0   
17:45:07  pose3  z0    xy(  40,  10) tid0   
17:45:08  pose3  z0    xy(  40,  10) tid0   
17:45:09  pose3  z0    xy(  40,  10) tid0   
17:45:10  pose3  z0    xy(  40,  10) tid0   
17:45:11  pose3  z0    xy(  40,  10) tid0   
17:45:12  pose3  z0    xy(  40,  10) tid0   
17:45:13  pose3  z0    xy(  40,  10) tid0   
17:45:14  pose3  z0    xy(  40,  10) tid0   
17:45:15  pose3  z0    xy(  40,  10) tid0   
17:45:16  pose3  z0    xy(  40,  10) tid0   
17:45:17  pose3  z0    xy(  40,  10) tid0   
17:45:18  pose3  z0    xy(  40,  10) tid0   
17:45:19  pose3  z0    xy(  40,  10) tid0   
17:45:20  pose3  z0    xy(  40,  10) tid0   
17:45:21  pose3  z0    xy(  40,  10) tid0   
17:45:22  pose3  z0    xy(  40,  10) tid0   
17:45:23  pose3  z0    xy(  40,  10) tid0   
17:45:24  pose3  z0    xy(  40,  10) tid0   
17:45:25  pose3  z0    xy(  40,  10) tid0   
17:45:27  pose3  z0    xy(  40,  10) tid0   
17:45:27  >>>>>> EVENT: number_people (2)
17:45:27  pose4  z0    xy(-110,  70) tid1   
17:45:27  pose3  z0    xy(  40,  10) tid0   
17:45:28  pose4  z0    xy(-110,  70) tid1   
17:45:28  pose3  z0    xy(  40,  10) tid0   
17:45:29  pose3  z0    xy(  40,  10) tid0   
17:45:29  pose4  z0    xy(-110,  70) tid1   
17:45:30  pose4  z0    xy(-110,  70) tid1   
17:45:30  pose3  z0    xy(  40,  10) tid0   
17:45:31  pose4  z0    xy(-110,  70) tid1   
17:45:31  pose3  z0    xy(  40,  10) tid0   
17:45:32  pose4  z0    xy(-110,  70) tid1   
17:45:32  pose3  z0    xy(  40,  10) tid0   
17:45:33  pose4  z0    xy(-110,  60) tid1   
17:45:33  pose3  z0    xy(  40,  10) tid0   
17:45:34  pose4  z0    xy(-110,  60) tid1   
17:45:34  pose3  z0    xy(  40,  10) tid0   
17:45:35  pose4  z0    xy(-110,  60) tid1   
17:45:35  pose3  z0    xy(  40,  10) tid0   
17:45:36  pose4  z0    xy(-110,  60) tid1   
17:45:36  pose3  z0    xy(  40,  10) tid0   
17:45:37  pose4  z0    xy(-110,  60) tid1   
17:45:37  pose3  z0    xy(  40,  10) tid0   
17:45:38  pose4  z0    xy(-110,  60) tid1   
17:45:38  pose3  z0    xy(  40,  10) tid0   
17:45:39  pose4  z0    xy(-110,  60) tid1   
17:45:39  pose3  z0    xy(  40,  10) tid0   
17:45:40  pose4  z0    xy(-110,  60) tid1   
17:45:40  pose3  z0    xy(  40,  10) tid0   
17:45:41  pose4  z0    xy(-110,  60) tid1   
17:45:41  pose3  z0    xy(  40,  10) tid0   
17:45:42  pose4  z0    xy(-110,  60) tid1   
17:45:42  pose3  z0    xy(  40,  10) tid0   
17:45:43  pose3  z0    xy(  40,  10) tid0   
17:45:43  pose4  z0    xy(-110,  60) tid1   
17:45:44  pose4  z0    xy(-110,  60) tid1   
17:45:44  pose3  z0    xy(  40,  10) tid0   
17:45:45  pose4  z0    xy(-110,  60) tid1   
17:45:45  pose3  z0    xy(  40,  10) tid0   
17:45:46  pose4  z0    xy(-110,  60) tid1   
17:45:46  pose3  z0    xy(  40,  10) tid0   
17:45:47  pose4  z0    xy(-110,  60) tid1   
17:45:47  pose3  z0    xy(  40,  10) tid0   
17:45:48  pose4  z0    xy(-110,  60) tid1   
17:45:48  pose3  z0    xy(  40,  10) tid0   
17:45:49  pose4  z0    xy(-110,  60) tid1   
17:45:49  pose3  z0    xy(  40,  10) tid0   
17:45:50  pose4  z0    xy(-110,  60) tid1   
17:45:50  pose3  z0    xy(  40,  10) tid0   
17:45:51  pose4  z0    xy(-110,  60) tid1   
17:45:51  pose3  z0    xy(  40,  10) tid0   
17:45:52  pose4  z0    xy(-110,  60) tid1   
17:45:52  pose3  z0    xy(  40,  10) tid0   
17:45:53  pose4  z0    xy(-110,  60) tid1   
17:45:53  pose3  z0    xy(  40,  10) tid0   
17:45:54  pose3  z0    xy(  40,  10) tid0   
17:45:54  pose4  z0    xy(-110,  60) tid1   
17:45:55  pose4  z0    xy(-110,  60) tid1   
17:45:55  pose3  z0    xy(  40,  10) tid0   
17:45:55  pose4  z0    xy(-110,  60) tid1   
17:45:55  pose3  z0    xy(  40,  10) tid0   
17:45:56  pose4  z0    xy( -90,  60) tid1   
17:45:56  pose3  z0    xy(  40,  10) tid0   
17:45:57  pose3  z0    xy(  40,  10) tid0   
17:45:57  pose4  z0    xy( -90,  60) tid1   
17:45:59  pose4  z0    xy( -90,  60) tid1   
17:45:59  pose3  z0    xy(  40,  10) tid0   
17:45:59  pose4  z0    xy( -90,  60) tid1   
17:45:59  pose3  z0    xy(  40,  10) tid0   
17:46:00  pose4  z0    xy( -90,  60) tid1   
17:46:00  pose3  z0    xy(  40,  10) tid0   
17:46:01  pose4  z0    xy( -90,  60) tid1   
17:46:01  pose3  z0    xy(  40,  10) tid0   
17:46:02  pose4  z0    xy( -90,  60) tid1   
17:46:02  pose3  z0    xy(  40,  10) tid0   
17:46:04  pose4  z0    xy( -90,  60) tid1   
17:46:04  pose3  z0    xy(  40,  10) tid0   
17:46:04  pose4  z0    xy( -90,  60) tid1   
17:46:04  pose3  z0    xy(  40,  10) tid0   
17:46:05  pose4  z0    xy( -90,  60) tid1   
17:46:05  pose3  z0    xy(  40,  10) tid0   
17:46:06  pose4  z0    xy( -90,  60) tid1   
17:46:06  pose3  z0    xy(  40,  10) tid0   
17:46:07  pose4  z0    xy( -90,  60) tid1   
17:46:07  pose3  z0    xy(  40,  10) tid0   
17:46:08  pose4  z0    xy( -90,  60) tid1   
17:46:08  pose3  z0    xy(  40,  10) tid0   
17:46:09  pose4  z0    xy( -90,  60) tid1   
17:46:09  pose3  z0    xy(  40,  10) tid0   
17:46:10  pose4  z0    xy( -90,  60) tid1   
17:46:10  pose3  z0    xy(  40,  10) tid0   
17:46:11  pose3  z0    xy(  40,  10) tid0   
17:46:11  pose4  z0    xy( -90,  60) tid1   
17:46:12  pose4  z0    xy( -90,  60) tid1   
17:46:12  pose3  z0    xy(  40,  10) tid0   
17:46:13  pose4  z0    xy( -90,  60) tid1   
17:46:13  pose3  z0    xy(  40,  10) tid0   
17:46:14  pose4  z0    xy( -90,  60) tid1   
17:46:14  pose3  z0    xy(  40,  10) tid0   
17:46:15  pose4  z0    xy( -90,  60) tid1   
17:46:15  pose3  z0    xy(  40,  10) tid0   
17:46:16  pose4  z0    xy( -90,  60) tid1   
17:46:16  pose3  z0    xy(  40,  10) tid0   
17:46:17  pose4  z0    xy( -90,  60) tid1   
17:46:17  pose3  z0    xy(  40,  10) tid0   
17:46:18  pose4  z0    xy( -90,  60) tid1   
17:46:18  pose3  z0    xy(  40,  10) tid0   
17:46:19  pose4  z0    xy( -90,  60) tid1   
17:46:19  pose3  z0    xy(  40,  10) tid0   
17:46:20  pose4  z0    xy( -90,  60) tid1   
17:46:20  pose3  z0    xy(  40,  10) tid0   
17:46:21  pose3  z0    xy(  40,  10) tid0   
17:46:21  pose4  z0    xy( -90,  60) tid1   
17:46:22  pose3  z0    xy(  40,  10) tid0   
17:46:22  pose4  z0    xy( -90,  60) tid1   
17:46:23  pose4  z0    xy( -90,  60) tid1   
17:46:23  pose3  z0    xy(  40,  10) tid0   
17:46:24  pose4  z0    xy( -90,  60) tid1   
17:46:24  pose3  z0    xy(  40,  10) tid0   
17:46:25  pose3  z0    xy(  40,  10) tid0   
