time	room	lid	present	pose	x	y	z	still	p_real	p_fall	fire	SEmp	SBed	SSit	SOpn	SBth	SFal	SBlR	SBlO	SLft	real_ppl	pad_lid	pad_in	pad_absb	pad_unc
13:34:00.920	100	D52303400920	True		-40	500		0	0.5	0	False	0.85	0.03	0.00	0.08	0.00	0.00	0.00	0.00	0.04	1				
13:34:01.817	100	D52303400920	True		-40	500		0	0.5088900181059163	0.0004295453660056881	False	0.82	0.04	0.01	0.10	0.01	0.00	0.00	0.01	0.01	1				
13:34:02.810	100	D52303400920	True		-40	500		1	0.5185472486325399	0.0010984423542577477	False	0.76	0.04	0.03	0.11	0.02	0.00	0.01	0.02	0.01	1				
13:34:03.809	100	D52303400920	True		-48	508		2	0.5280712133683809	0.0019896690784089698	False	0.71	0.05	0.04	0.12	0.03	0.00	0.01	0.03	0.01	1				
13:34:04.816	100	D52303400920	True		-51	519		3	0.537480786671186	0.0030798121271239805	False	0.66	0.05	0.04	0.13	0.04	0.00	0.02	0.04	0.01	1				
13:34:05.869	100	D52303400920	True		-34	505		4	0.5471195884705706	0.004347149897483372	False	0.62	0.06	0.05	0.14	0.04	0.00	0.03	0.05	0.01	1				
13:34:06.857	100	D52303400920	True		-28	499		5	1	0.005772216827527193	False	0.58	0.06	0.06	0.14	0.05	0.01	0.04	0.06	0.01	1				
13:34:07.871	100	D52303400920	True		-28	499		6	1	0.007337486445325331	False	0.54	0.07	0.06	0.14	0.05	0.01	0.04	0.07	0.01	1				
13:34:08.765	100	D52303400920	True		-29	499		7	1	0.009027076478921243	False	0.51	0.07	0.06	0.15	0.05	0.01	0.05	0.08	0.02	1				
13:34:09.769	100	D52303400920	True		-30	500		8	1	0.010826542142411497	False	0.49	0.07	0.07	0.15	0.06	0.01	0.06	0.09	0.02	1				
13:34:10.761	100	D52303400920	True		-30	500		9	1	0.012722727724649873	False	0.46	0.08	0.07	0.15	0.06	0.01	0.06	0.10	0.02	1				
13:34:11.785	100	D52303400920	True		-30	500		10	1	0.014703650876777836	False	0.44	0.08	0.07	0.15	0.06	0.01	0.07	0.10	0.02	1				
