minute_local	pose	count
2026-05-24 13:30:00		1
2026-05-24 13:31:00		2
2026-05-24 13:32:00		2
2026-05-24 13:33:00		2
2026-05-24 13:34:00		2
2026-05-24 13:35:00		2
2026-05-24 13:36:00	1	11
2026-05-24 13:36:00	3	41
2026-05-24 13:36:00	4	2
2026-05-24 13:37:00	3	61
2026-05-24 13:38:00	3	60
2026-05-24 13:39:00	3	61
2026-05-24 13:40:00	3	60
2026-05-24 13:41:00	3	61
2026-05-24 13:42:00	3	60
2026-05-24 13:43:00	3	61
2026-05-24 13:44:00	3	60
2026-05-24 13:45:00	3	61
2026-05-24 13:46:00	3	60
2026-05-24 13:47:00	3	61
2026-05-24 13:48:00	3	60
2026-05-24 13:49:00	3	61
2026-05-24 13:50:00	3	60
2026-05-24 13:51:00	3	60
2026-05-24 13:52:00	3	61
2026-05-24 13:53:00	3	60
2026-05-24 13:54:00	3	61
2026-05-24 13:55:00	3	60
2026-05-24 13:56:00	1	2
2026-05-24 13:56:00	3	57
2026-05-24 13:56:00	4	2
2026-05-24 13:57:00	1	1
2026-05-24 13:57:00	4	32
2026-05-24 13:57:00		4
2026-05-24 13:58:00		1
2026-05-24 13:59:00		2
(36 rows)
