cp_local	ts_local	payload
2026-05-24 13:40:00	2026-05-24 13:40:00.834	[{"pose": 3, "area_id": 255, "track_id": 0, "position_x": 0, "position_y": 50, "position_z": 46, "remaining_time": 0, "track_confidence": 80}]
2026-05-24 13:40:00	2026-05-24 13:40:01.774	[{"pose": 3, "area_id": 255, "track_id": 0, "position_x": 0, "position_y": 50, "position_z": 37, "remaining_time": 0, "track_confidence": 80}]
2026-05-24 13:40:00	2026-05-24 13:40:02.758	[{"pose": 3, "area_id": 255, "track_id": 0, "position_x": 0, "position_y": 50, "position_z": 31, "remaining_time": 0, "track_confidence": 80}]
2026-05-24 13:40:00	2026-05-24 13:40:03.77	[{"pose": 3, "area_id": 255, "track_id": 0, "position_x": 0, "position_y": 50, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-24 13:40:00	2026-05-24 13:40:04.784	[{"pose": 3, "area_id": 255, "track_id": 0, "position_x": 0, "position_y": 50, "position_z": 35, "remaining_time": 0, "track_confidence": 80}]
2026-05-24 13:43:00	2026-05-24 13:43:00.308	[{"pose": 3, "area_id": 255, "track_id": 0, "position_x": 50, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-24 13:43:00	2026-05-24 13:43:01.316	[{"pose": 3, "area_id": 255, "track_id": 0, "position_x": 50, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-24 13:43:00	2026-05-24 13:43:02.33	[{"pose": 3, "area_id": 255, "track_id": 0, "position_x": 50, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-24 13:43:00	2026-05-24 13:43:03.349	[{"pose": 3, "area_id": 255, "track_id": 0, "position_x": 50, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-24 13:43:00	2026-05-24 13:43:04.36	[{"pose": 3, "area_id": 255, "track_id": 0, "position_x": 50, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-24 13:50:00	2026-05-24 13:50:00.956	[{"pose": 3, "area_id": 255, "track_id": 0, "position_x": 20, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-24 13:50:00	2026-05-24 13:50:01.969	[{"pose": 3, "area_id": 255, "track_id": 0, "position_x": 20, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-24 13:50:00	2026-05-24 13:50:02.99	[{"pose": 3, "area_id": 255, "track_id": 0, "position_x": 20, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-24 13:50:00	2026-05-24 13:50:03.89	[{"pose": 3, "area_id": 255, "track_id": 0, "position_x": 20, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-24 13:50:00	2026-05-24 13:50:04.903	[{"pose": 3, "area_id": 255, "track_id": 0, "position_x": 20, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-24 13:57:00	2026-05-24 13:57:00.605	[{"pose": 1, "area_id": 255, "track_id": 0, "position_x": -80, "position_y": 180, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-24 13:57:00	2026-05-24 13:57:01.615	[{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -80, "position_y": 180, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-24 13:57:00	2026-05-24 13:57:02.517	[{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -80, "position_y": 180, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-24 13:57:00	2026-05-24 13:57:03.538	[{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -80, "position_y": 180, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-24 13:57:00	2026-05-24 13:57:04.547	[{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -80, "position_y": 180, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
(20 rows)
